Date,Date valeur,Reference,Libelle,Montant,Devise,Solde
01/07/2026,03/07/2026,OP-7028,COMMISSIONNEMENT AGENT COMMERCIAL,-1348701.03,XOF,57168677.55
02/07/2026,04/07/2026,OP-7021,VIR RECU TOTAL ENERGIE CMD,5541727.94,XOF,69227778.31
02/07/2026,03/07/2026,OP-7026,VIR FOURNISSEUR CARBURANT,-1338036.29,XOF,63406349.5
03/07/2026,04/07/2026,OP-7003,ACHAT FOURNITURES DE BUREAU,-595822.08,XOF,44443968.92
03/07/2026,04/07/2026,OP-7011,SALAIRES OCTOBRE 2026,-4864165.64,XOF,47307341.58
03/07/2026,04/07/2026,OP-7034,RÈGLEMENT FACTURE IMPRIMERIE,-1334815.02,XOF,63167291.74
03/07/2026,05/07/2026,OP-7042,VIR FOURNISSEUR MATÉRIEL INFO,-4544487.65,XOF,76252924.82
03/07/2026,05/07/2026,OP-7044,RÈGLEMENT FACTURE EAU SDE,-889514.35,XOF,72750934.13
03/07/2026,04/07/2026,OP-7048,COMMISSIONNEMENT AGENT COMMERCIAL,-2439077.15,XOF,69653709.03
04/07/2026,06/07/2026,OP-7006,VIR RECU CORIS BANK COMPENSAT.,202030.41,XOF,49168798.58
06/07/2026,08/07/2026,OP-7002,PAIEMENT LOYER BUREAU PRINCIPAL,-3943447.95,XOF,45039791
06/07/2026,07/07/2026,OP-7015,PAIEMENT LOYER BUREAU PRINCIPAL,-416344.3,XOF,49184491.39
07/07/2026,08/07/2026,OP-7031,VIR RECU SOCIÉTÉ GÉNÉRALE DAKAR,7565225.55,XOF,63674354.2
08/07/2026,09/07/2026,OP-7001,CREDIT VENTE MARCHANDISES REF-789,233238.95,XOF,48983238.95
08/07/2026,10/07/2026,OP-7025,PAIEMENT ABONNEMENT LOGICIELS,-2631450.84,XOF,64744385.79
08/07/2026,10/07/2026,OP-7050,PAIEMENT ABONNEMENT LOGICIELS,-4366261.68,XOF,64554632.39
09/07/2026,10/07/2026,OP-7013,VIR RECU CORIS BANK COMPENSAT.,361956.21,XOF,48468398.58
09/07/2026,10/07/2026,OP-7027,REMBOURSEMENT PRÊT BANQUE MOIS,-4888970.92,XOF,58517378.58
09/07/2026,10/07/2026,OP-7035,VIR FOURNISSEUR CARBURANT,-1873487.9,XOF,61293803.84
09/07/2026,11/07/2026,OP-7038,ENCAISSEMENT PRESTATION SERVICE,7156702.69,XOF,71564700.86
09/07/2026,10/07/2026,OP-7046,RÈGLEMENT FACTURE EAU SDE,-807993.35,XOF,76141022.99
10/07/2026,12/07/2026,OP-7014,VIR RECU TOTAL ENERGIE CMD,1132437.11,XOF,49600835.69
12/07/2026,14/07/2026,OP-7010,ENCAISSEMENT LOYER IMMEUBLE A,4867100.15,XOF,52171507.22
13/07/2026,14/07/2026,OP-7019,VIR RECU NDOX SARL CMD-2026,4731265.23,XOF,61723245.69
14/07/2026,16/07/2026,OP-7022,FRAIS BANCAIRES GESTION COMPTE,-592305.05,XOF,68635473.26
14/07/2026,16/07/2026,OP-7040,VIR RECU TOTAL ENERGIE CMD,6921138.89,XOF,83346000.02
15/07/2026,17/07/2026,OP-7007,PAIEMENT ASSURANCE AXA SÉNÉGAL,-3893755.47,XOF,45275043.11
15/07/2026,16/07/2026,OP-7041,REMBOURSEMENT PRÊT BANQUE MOIS,-2548587.55,XOF,80797412.47
16/07/2026,17/07/2026,OP-7045,ENCAISSEMENT PRESTATION SERVICE,4198082.21,XOF,76949016.34
17/07/2026,19/07/2026,OP-7005,PAIEMENT ÉLECTRICITÉ SENELEC,-1042929.99,XOF,48966768.17
17/07/2026,18/07/2026,OP-7032,VIR RECU NDOX SARL CMD-2026,2818935.82,XOF,66493290.02
18/07/2026,19/07/2026,OP-7029,VIR FOURNISSEUR SARL TECHNO,-3842049.14,XOF,53326628.41
19/07/2026,20/07/2026,OP-7043,PAIEMENT ÉLECTRICITÉ SENELEC,-2612476.34,XOF,73640448.48
20/07/2026,21/07/2026,OP-7004,CREDIT VENTE MARCHANDISES REF-789,5565729.24,XOF,50009698.16
20/07/2026,21/07/2026,OP-7020,ENCAISSEMENT CHQ GLOBEXCO,1962804.68,XOF,63686050.37
21/07/2026,22/07/2026,OP-7023,VIR RECU CORIS BANK COMPENSAT.,300145.93,XOF,68935619.19
21/07/2026,22/07/2026,OP-7049,ACHAT FOURNITURES DE BUREAU,-732814.96,XOF,68920894.07
23/07/2026,25/07/2026,OP-7017,VIR FOURNISSEUR SARL TECHNO,-4358019.61,XOF,52607024.38
23/07/2026,24/07/2026,OP-7018,ENCAISSEMENT CHQ GLOBEXCO,4384956.08,XOF,56991980.46
23/07/2026,25/07/2026,OP-7036,ENCAISSEMENT LOYER IMMEUBLE A,1593278.71,XOF,62887082.55
23/07/2026,24/07/2026,OP-7037,ENCAISSEMENT CHQ GLOBEXCO,1520915.62,XOF,64407998.17
24/07/2026,26/07/2026,OP-7030,VIR RECU SOTELMA FACTURATION,2782500.24,XOF,56109128.65
25/07/2026,27/07/2026,OP-7033,SALAIRES OCTOBRE 2026,-1991183.26,XOF,64502106.76
26/07/2026,27/07/2026,OP-7009,VIR RECU SYSCOM INDUSTRIES,2478660.86,XOF,47304407.07
26/07/2026,27/07/2026,OP-7012,CREDIT VENTE MARCHANDISES REF-789,799100.79,XOF,48106442.37
26/07/2026,27/07/2026,OP-7016,VIR RECU SOCIÉTÉ GÉNÉRALE DAKAR,7780552.6,XOF,56965043.99
27/07/2026,28/07/2026,OP-7047,PAIEMENT ÉLECTRICITÉ SENELEC,-4048236.81,XOF,72092786.18
28/07/2026,28/07/2026,OP-7008,PAIEMENT COTISATIONS IPRES/CSS,-449296.9,XOF,44825746.21
28/07/2026,28/07/2026,OP-7024,VIR FOURNISSEUR CARBURANT,-1559782.56,XOF,67375836.63
28/07/2026,28/07/2026,OP-7039,REMBOURSEMENT TROP-PERÇU ÉTAT,4860160.27,XOF,76424861.13
28/07/2026,28/07/2026,FRAIS-07-1,FRAIS TENUE DE COMPTE TRIM.,-15000,XOF,
28/07/2026,28/07/2026,FRAIS-07-2,COMMISSION VIREMENT ÉTRANGER,-8500,XOF,
28/07/2026,28/07/2026,FRAIS-07-3,INTÉRÊTS DÉBITEURS MOIS,-22000,XOF,
